
Hanging_Man_N100,,,, 
================ 


Bullish_Hammer_Daily_N50,,,, 
======================== 
nsecode,close,per_chg,volume
NTPC,326.2,-0.12,6001558
SUNPHARMA,1855.9,0.32,669328

Bullish_Hammer_weekly_near_BB_N500,,,, 
================================== 


Wekly_NCPR_KGS,,,, 
============== 
nsecode,close,per_chg,volume
ETERNAL,334.95,-0.16,24383240
HDFCBANK,735.4,0.89,19700864
ADANIPOWER,202.71,1.62,16095789
TATASTEEL,187.79,-0.12,15681209
RELIANCE,1224.7,0.45,12907721
LICI,408.7,0.67,11536838
ICICIBANK,1327.7,-0.51,10690091
WIPRO,164.07,0.26,9590592
CANBK,124.9,-0.79,8206123
AXISBANK,1221.3,2.93,6898214
UNIONBANK,179.45,0.0,6332195
POWERGRID,269.35,1.11,6155376
ITC,268.9,0.34,6106209
BEL,392.7,0.18,6008299
NTPC,326.2,-0.12,6001558
GAIL,173.0,-0.49,5394977
ONGC,235.25,-1.57,4874414
BSE,3188.0,0.13,4485933
RECLTD,312.5,1.38,3876979
SBIN,982.0,0.36,3702864
VEDL,265.8,-0.64,3610196
NYKAA,333.05,-0.67,3490222
RBLBANK,415.45,0.65,3411922
HINDZINC,590.05,0.49,3338308
TCS,2080.5,-0.31,3303880
BANKBARODA,235.22,0.39,2480527
MCX,3318.5,-3.19,2374790
M&M,3030.0,1.59,2061979
IEX,112.5,1.17,2061193
TATAPOWER,366.8,0.92,1702339
HYUNDAI,2115.0,2.64,1545635
HCLTECH,1257.1,1.09,1524952
BANKINDIA,137.6,-0.12,1523707
LAURUSLABS,1998.0,-1.39,1431258
LT,3878.0,0.51,1208536
CIPLA,1402.0,0.21,1161494
SBILIFE,1746.7,-0.47,1013934
DRREDDY,1201.0,0.05,977164
ADANIGREEN,1293.5,1.05,968486
JUBLFOOD,487.0,1.69,943258
TECHM,1550.0,0.45,920269
ADANIPORTS,1790.0,0.26,883439
MOTILALOFS,1032.0,0.98,856598
PETRONET,286.4,-0.07,844472
COFORGE,1784.0,-0.11,797949
GRASIM,3190.0,0.74,774018
NAM-INDIA,1150.0,0.45,739653
HINDUNILVR,1935.0,0.08,723785
DABUR,386.0,0.08,670584
SUNPHARMA,1855.9,0.32,669328
OIL,473.05,-1.24,663269
AUROPHARMA,1712.7,-0.19,617218
PHOENIXLTD,1970.1,0.77,459746
PREMIERENE,900.0,0.22,450659
MARICO,822.0,-0.31,438922
APOLLOHOSP,8890.0,0.02,436882
COCHINSHIP,1377.0,0.51,420014
ASIANPAINT,2447.0,2.27,419389
JINDALSTEL,1159.9,0.18,418909
TVSMOTOR,4130.0,0.95,410817
INDIGO,4948.0,1.19,405641
DIVISLAB,9567.0,-0.36,386753
HAL,4795.3,0.44,378624
VOLTAS,1118.0,0.41,364182
TITAN,4871.5,0.81,364058
UNITDSPR,1420.1,-0.22,362146
ASTRAL,1398.8,0.49,356062
APLAPOLLO,2202.0,0.79,338765
MUTHOOTFIN,2820.0,-0.19,314045
PRESTIGE,1474.7,-0.02,310468
HAVELLS,1094.7,0.43,303868
HEROMOTOCO,5357.0,1.15,296910
POLYCAB,8399.0,0.39,295484
DMART,3820.7,0.88,292473
GODREJCP,877.5,0.29,285390
MARUTI,12071.0,0.68,282025
GODREJPROP,1697.5,1.57,272143
ULTRACEMCO,11156.0,0.9,188880
KEI,4680.5,0.95,137092
BAJAJ-AUTO,11305.0,0.87,119496
SOLARINDS,19610.0,0.67,119418
BRITANNIA,4925.0,0.61,106839
SRF,2530.7,-0.12,105594
SIEMENS,3863.0,0.55,80352
FORCEMOT,17336.0,1.13,64352
BOSCHLTD,48000.0,0.52,18796
SHREECEM,22415.0,0.29,10059
NIFTY,23128.1,0.28,0
