
Hanging_Man_N100								 
================ 


Bullish_Hammer_Daily_N50								 
======================== 


Bullish_Hammer_weekly_near_BB_N500								 
================================== 
nsecode		close		per_chg		volume
ABSLAMC		1088.6		2.85		202291

Wekly_NCPR_KGS								 
============== 
nsecode		close		per_chg		volume
HDFCBANK		716.1		-0.75		21349609
PNB		116.74		-0.05		15715592
ITC		265.2		0.4		13173595
JIOFIN		229.59		2.11		12140298
KOTAKBANK		417.0		0.48		11445740
SAIL		175.4		1.07		10973067
ONGC		232.4		-1.86		10917804
CANBK		123.22		0.02		10517411
BANKINDIA		138.8		0.72		9621868
SWIGGY		276.55		2.24		8907529
ADANIPOWER		205.42		1.52		8679739
SBIN		986.5		-0.49		8586742
BEL		394.1		2.16		7686362
RELIANCE		1245.5		0.44		7275742
LICI		399.0		0.89		7192562
MOTHERSON		162.0		2.36		6945437
POWERGRID		264.9		0.8		5761725
NTPC		328.5		0.46		5471564
UNIONBANK		178.0		-0.11		5225686
IOC		134.04		-0.53		5120634
BAJFINANCE		1016.0		0.97		4810241
BHARTIARTL		1833.6		-0.08		4317046
AXISBANK		1242.8		0.15		4262968
VMM		101.06		0.09		4170464
INDUSINDBK		959.5		1.37		3951761
INDUSTOWER		380.5		1.3		3712062
RVNL		201.75		2.15		3538784
LTF		302.2		2.27		3497055
LICHSGFIN		548.9		1.09		3338274
VEDL		256.75		0.29		3292554
RECLTD		310.95		-0.54		3208774
SONACOMS		780.0		1.56		3090792
BIOCON		382.0		2.03		3029945
NATIONALUM		357.55		0.44		2939593
TATAPOWER		368.3		2.19		2807348
ABCAPITAL		390.15		2.32		2767977
DELHIVERY		427.8		1.42		2702792
GAIL		172.1		0.85		2683011
IREDA		108.99		0.54		2627286
CGPOWER		880.5		3.4		2322392
RBLBANK		404.5		0.12		2250061
HINDPETRO		351.25		0.34		2147116
SBICARD		636.0		2.9		1811765
M&M		3086.0		0.52		1775413
INDHOTEL		726.55		1.84		1629445
DABUR		385.0		0.79		1518271
CROMPTON		226.89		1.56		1435365
JSWSTEEL		1253.3		0.35		1333119
LT		3855.0		1.24		1300097
HINDUNILVR		1949.0		-0.66		1132079
MAXHEALTH		1037.0		1.17		1113901
NESTLEIND		1377.4		-0.51		1029992
TVSMOTOR		4111.7		1.95		1008961
JSWENERGY		512.0		1.45		991209
PETRONET		284.0		0.67		957202
GODREJCP		872.7		1.12		877633
MUTHOOTFIN		2779.0		0.27		829928
COCHINSHIP		1331.8		0.97		773584
AUBANK		1037.0		0.37		770840
ADANIGREEN		1270.0		-0.02		711903
HYUNDAI		2167.9		0.6		686714
BDL		1148.9		1.14		677360
HAVELLS		1092.0		0.19		573458
INDIANB		842.0		0.24		533925
HAL		4777.4		1.74		521824
BHARATFORG		1908.0		1.22		520840
INDIGO		4846.5		2.39		497829
GVT&D		4353.5		2.03		488193
ASIANPAINT		2448.4		1.32		477969
HDFCAMC		2385.1		0.51		476521
ASTRAL		1393.3		0.78		470872
TRENT		2789.0		0.7		443501
360ONE		1060.0		1.38		440066
PGEL		531.0		1.36		418711
COLPAL		1846.2		-0.74		416125
DMART		3716.0		-0.11		378470
PIDILITIND		1557.9		0.91		319037
BRITANNIA		4998.5		-0.02		305683
DIXON		13270.0		0.68		266040
EICHERMOT		7525.0		0.33		249673
MARUTI		12382.0		1.78		248466
UNITDSPR		1390.0		0.04		242101
KEI		4540.0		0.75		215616
ABB		7116.0		1.95		207122
APOLLOHOSP		8799.0		1.18		183741
ULTRACEMCO		10800.0		0.93		170267
RADICO		4395.2		-1.59		151871
BAJAJ-AUTO		11485.0		-0.93		129349
GODFRYPHLP		1939.7		0.29		99607
AMBER		7067.5		1.98		89141
SUPREMEIND		3325.0		0.76		84826
BAJAJHLDNG		11000.0		0.64		29376
BOSCHLTD		47735.0		0.38		17363
NIFTY		23294.35		0.33		0
BANKNIFTY		56137.45		-0.28		0
