
Tweezer_top_15m_Nifty,,,, 
===================== 
nsecode,close,per_chg,volume
WIPRO,169.84,1.46,11460253

Bullish_Hammer_15m_N500,,,, 
======================= 
nsecode,close,per_chg,volume
HSCL,637.35,-4.14,7469884
COFORGE,1775.0,-3.87,4578392
BSE,3312.0,-2.13,3894513
CHENNPETRO,1478.0,-6.03,2049599
NETWEB,4605.5,-8.38,1900419
BDL,1129.2,-5.11,1286513
CUB,225.1,-0.98,1255106
FINCABLES,1338.2,-6.03,1253862
360ONE,1058.9,-2.94,891515
WOCKPHARMA,2066.8,-5.17,841835
HEROMOTOCO,5222.0,0.01,652594
USHAMART,480.05,-2.92,601962
PREMIERENE,944.2,-3.08,567137
OLECTRA,1176.6,-2.72,377389
DIVISLAB,9174.5,-1.58,377065
GLENMARK,2375.0,-1.83,273682
IPCALAB,1934.3,-1.74,271557
ACUTAAS,3274.3,-3.23,262763
VIJAYA,1439.3,-4.17,114729
CHALET,844.85,-3.69,50857
ENDURANCE,2616.4,-2.83,45125
ERIS,1310.0,-3.36,43070
BOSCHLTD,47525.0,-1.78,29793
GILLETTE,7229.0,-1.07,10963
