
Tweezer_top_15m_Nifty								 
===================== 
nsecode		close		per_chg		volume
SBIN		1029.9		-2.84		7578292

Bullish_Hammer_15m_N500								 
======================= 
nsecode		close		per_chg		volume
ICICIBANK		1428.0		-1.79		10206233
BHEL		424.95		-4.0		7051343
CGCL		250.8		-2.21		2618797
ASIANPAINT		2562.8		-3.42		1026622
TATACONSUM		1026.6		-1.05		992211
PIDILITIND		1641.0		-2.77		986232
CHALET		895.75		-0.91		976831
AUROPHARMA		1678.6		-2.24		607146
KFINTECH		938.8		-3.22		577511
MOTILALOFS		1012.0		-2.96		504455
TITAN		5025.0		-1.52		442174
UNITDSPR		1465.1		-1.67		385147
WAAREEENER		2577.2		-1.07		303606
CANFINHOME		793.45		-0.23		218161
CRAFTSMAN		11233.0		0.31		128813
SHREECEM		23465.0		1.14		15338
