
Nifty_1Hr_OBV_DIV,,,, 
================= 


BN_1Hr_OBV_DIV,,,, 
============== 


Intraday_Buy_PSAR,,,, 
================= 
nsecode,close,per_chg,volume
KALYANKJIL,439.7,17.52,116852784
PREMIERENE,1091.0,4.51,1929287

Intraday_Volume_Shocker,,,, 
======================= 
nsecode,close,per_chg,volume
BANKINDIA,139.04,2.9,8147258
HINDPETRO,392.55,1.47,4236997
CHOLAFIN,1795.8,1.49,1267142
NIFTY,23981.85,0.42,0

High_Relative_Volume_Spurt_5m,,,, 
============================= 


Open_High,,,, 
========= 
nsecode,close,per_chg,volume
ICICIGI,1796.4,-0.43,412590
ONGC,243.91,-1.25,13787828
INFY,1053.0,-1.52,8834314

Open_Low,,,, 
======== 
nsecode,close,per_chg,volume
SWIGGY,281.8,7.8,55451033
GVT&D,4653.2,4.18,525882
NAM-INDIA,1215.0,4.02,716545
DIXON,13451.0,4.0,819629
MOTILALOFS,942.95,3.67,1255757
NBCC,97.94,3.33,8831964
ANGELONE,341.3,3.05,7455889
DELHIVERY,515.7,2.77,7857098
CDSL,1346.8,2.7,1416836
INDIANB,793.15,2.69,1845481
PRESTIGE,1676.5,2.52,732410
MAXHEALTH,1110.3,2.35,2448138
ICICIPRULI,491.1,2.3,559321
INDUSINDBK,1015.9,2.14,1937431
ETERNAL,292.8,2.13,49437292
COLPAL,2062.6,2.1,266114
BANDHANBNK,200.0,2.02,4626513
LICHSGFIN,540.3,1.83,753217
ULTRACEMCO,11521.0,1.48,147654
SUPREMEIND,3225.3,1.44,84405
BOSCHLTD,42155.0,1.31,24922
INDHOTEL,732.15,1.28,1376323
CONCOR,457.15,1.27,495820
APOLLOHOSP,8850.5,1.11,568518
YESBANK,23.66,1.02,49968720
FORTIS,953.3,1.01,1968719
RBLBANK,362.8,0.83,2978755
ABB,6827.0,0.82,117811
NESTLEIND,1462.1,0.8,1315775
GMRAIRPORT,111.9,0.8,18919624
VMM,116.8,0.77,2311117
BRITANNIA,5356.0,0.76,170248
POLICYBZR,1573.2,0.68,1295708
POWERGRID,281.45,0.63,6659558
IREDA,121.89,0.59,2823233
ADANIPORTS,1801.4,0.54,1099567
FEDERALBNK,328.05,0.46,3638648
