
Volume_Shocker_Daily								 
==================== 
nsecode		close		per_chg		volume
POONAWALLA		486.65		12.44		7081721
ATGL		658.4		12.16		39255530
EMCURE		2085.7		9.21		1640409
JSWINFRA		355.0		8.68		24712816
WELCORP		2662.9		8.23		4594820
BBTC		1513.8		8.17		2463596
SPLPETRO		867.75		7.53		1228160
HOMEFIRST		1258.5		7.26		861011
JYOTICNC		1052.0		7.25		3958904
SYRMA		1727.0		6.76		10443242
ACMESOLAR		437.5		6.37		11761254
SCHAEFFLER		4240.1		6.24		167023
DALBHARAT		1797.8		6.17		369407
BEML		2131.2		5.86		1372159
EIHOTEL		317.45		5.85		1297345
MEESHO		219.33		5.8		80504360
MEDANTA		1506.5		5.79		699586
ABBOTINDIA		27410.0		5.79		37718
CENTRALBK		32.1		5.59		54646472
LENSKART		717.9		5.58		24937139
BELRISE		242.0		5.51		10471946
TATATECH		718.75		-5.27		2192188
GODIGIT		238.2		-6.77		3375302
TATACHEM		689.5		-11.52		14010354

BN_NR7								 
====== 
nsecode		close		per_chg		volume
BANKBARODA		233.8		0.65		5319556
PNB		117.12		0.56		13848727
AXISBANK		1245.1		0.41		5643538
INDUSINDBK		961.5		0.34		2416642
AUBANK		1040.0		0.07		1020113
UNIONBANK		178.12		0.02		5455369
CANBK		123.5		-0.32		9243078

BN_NCPR								 
======= 
nsecode		close		per_chg		volume
BANKNIFTY		56360.2		0.54		0
AXISBANK		1245.1		0.41		5643538
INDUSINDBK		961.5		0.34		2416642
AUBANK		1040.0		0.07		1020113

NCPR_KGS								 
======== 
nsecode		close		per_chg		volume
LODHA		1130.1		2.45		4546205
ZYDUSLIFE		1157.7		1.99		2484312
INDIGO		4926.0		1.67		627957
SHRIRAMFIN		1010.1		1.52		4469370
ABB		7231.5		1.42		381778
HDFCAMC		2419.5		1.33		904895
JSWSTEEL		1269.7		1.3		2021582
PGEL		534.85		1.04		518613
RBLBANK		407.95		0.94		2892171
CONCOR		492.2		0.83		2069164
APOLLOHOSP		8840.0		0.82		270523
BANKNIFTY		56360.2		0.54		0
HYUNDAI		2170.9		0.5		541423
BEL		397.1		0.42		9881891
AXISBANK		1245.1		0.41		5643538
JSWENERGY		514.0		0.39		2918641
BRITANNIA		5000.0		0.36		257222
INDUSINDBK		961.5		0.34		2416642
BAJAJFINSV		1865.5		0.34		473272
NIFTY		23341.85		0.31		0
HAVELLS		1095.0		0.27		529942
RECLTD		311.05		0.18		4687579
TIINDIA		2601.9		0.12		245596
HEROMOTOCO		5330.0		0.09		505609
AUBANK		1040.0		0.07		1020113
RELIANCE		1243.4		-0.04		10257238
BAJAJ-AUTO		11486.0		-0.12		229306
SBICARD		636.15		-0.13		2691323
TITAN		4825.0		-0.33		1050313
INDUSTOWER		379.5		-0.49		3425797
PERSISTENT		5437.0		-0.66		494961
TECHM		1540.0		-1.35		2576869

OBV_RSI_Buy_Daily								 
================= 
nsecode		close		per_chg		volume
SONACOMS		809.95		4.12		3978885
JUBLFOOD		499.05		3.93		2295573
SAGILITY		46.15		3.57		16191772
HDFCBANK		731.2		2.55		32378343
VBL		425.0		2.3		6510383
PATANJALI		362.5		2.27		1692131
MOTILALOFS		1010.0		2.15		337361
MOTHERSON		165.09		1.99		6513577

Strong_Stocks_Daily								 
=================== 
nsecode		close		per_chg		volume
WELCORP		2662.9		8.23		4594820
APARINDS		19050.0		7.02		268168
PWL		136.63		6.91		19950554
SYRMA		1727.0		6.76		10443242
CAPLIPOINT		2770.0		6.68		305818
ACMESOLAR		437.5		6.37		11761254
MEESHO		219.33		5.8		80504360
MEDANTA		1506.5		5.79		699586
LENSKART		717.9		5.58		24937139
AEGISLOG		1426.2		5.35		1317538
SONACOMS		809.95		4.12		3978885
ATHERENERG		1613.6		4.1		4681964
EXIDEIND		435.7		4.09		5509746
VIJAYA		1565.7		3.96		276081
SAILIFE		1606.1		3.91		853947
HONASA		478.05		3.9		1055181
TBOTEK		1711.3		3.86		210535
HSCL		678.25		3.81		2594084
ACUTAAS		3430.0		3.47		516174
ADANIGREEN		1316.4		3.31		2363491
CGCL		271.0		3.3		6312969
CARBORUNIV		1118.7		3.24		524696
PAYTM		1819.0		3.18		4296987
PNBHOUSING		1138.3		3.15		1263231
SHYAMMETL		1107.2		2.8		1191150
GABRIEL		1318.7		2.73		289670
FLUOROCHEM		4586.0		2.55		223813
ACE		1233.7		2.33		874309
RRKABEL		2443.7		2.23		368575
MOTILALOFS		1010.0		2.15		337361
SAREGAMA		499.4		2.07		369571
MOTHERSON		165.09		1.99		6513577
ADANIENT		2980.0		1.94		1322441
FIVESTAR		540.55		1.81		718572
HFCL		213.15		1.77		6200472
RADICO		4456.0		1.74		207229
CRAFTSMAN		11125.0		1.72		199311
AEGISVOPAK		316.0		1.71		2279954
NETWEB		4656.5		1.7		1131287
CARTRADE		2985.3		1.61		647112
PPLPHARMA		207.88		1.55		2839031
NUVAMA		1713.6		1.55		261480
KIRLOSENG		2152.4		1.5		471566
LLOYDSME		1826.1		1.49		337201
GLAND		2950.0		1.45		489115
DEEPAKFERT		1343.3		1.41		204077
BLUEJET		575.75		1.33		206359
LAURUSLABS		1974.0		1.33		2338780
ANANDRATHI		2232.2		1.12		872037
FINCABLES		1410.0		1.02		1051899
BHEL		432.75		0.83		6414881
WELSPUNLIV		214.0		0.82		3491664
ANTHEM		934.75		0.79		5249479
KALYANKJIL		585.8		0.75		4742460
WOCKPHARMA		2086.6		0.69		548324
GRANULES		874.75		0.5		1195396
DIVISLAB		9369.5		0.5		618541
OFSS		11665.0		0.39		128407
BALRAMCHIN		677.75		0.3		1063404
CEMPRO		1258.7		0.29		225011
NEULANDLAB		22695.0		0.13		74796

Bullish_Harami_N100								 
=================== 
nsecode		close		per_chg		volume
ULTRACEMCO		10984.0		2.04		408948
