
FII_Shareholding_Increased,,,, 
========================== 
nsecode,close,per_chg,volume
BPCL,315.4,2.22,7622043
UNITDSPR,1356.7,1.42,1377531
BRITANNIA,5266.0,0.48,283643
LUPIN,2367.4,0.41,776301
IEX,125.24,0.35,3113031
ALKEM,5432.0,0.3,121934
MCX,2835.0,0.14,1688607
DIVISLAB,6753.0,0.09,250585
TORNTPHARM,4500.5,-0.3,261780
DMART,4329.0,-1.45,303834

Fundamental_Tenchnical_Swing,,,, 
============================ 
nsecode,close,per_chg,volume
KRISHANA,738.0,8.59,1904693
MSTCLTD,673.0,2.19,955523
CAPLIPOINT,2531.6,1.63,217745
IKS,1721.2,1.25,196009
SKYGOLD,503.25,0.85,3796920
PREMIERENE,1051.4,0.52,997773
EICHERMOT,7571.5,-0.09,320829
NBCC,108.83,-0.19,8292664
ITDC,604.45,-0.38,102992
BSE,3883.4,-1.48,2806331
ABB,6955.0,-2.84,277994
HAL,4367.1,-2.96,964320
JASH,537.15,-4.05,201101
TRITURBINE,671.5,-6.43,3155841

Zero_Debt_Momentum,,,, 
================== 
nsecode,close,per_chg,volume
ASTRAMICRO,1669.7,-1.13,897970
IOLCP,131.47,-1.2,3242836
FCL,42.73,-1.54,10288395
HDFCAMC,2628.0,-1.94,530188
MTARTECH,7795.0,-4.03,1207351
AEROFLEX,479.35,-4.65,1261171

FIPA_above_all_SMAs,,,, 
=================== 
nsecode,close,per_chg,volume
KPRMILL,1219.5,7.81,14971799
JSWINFRA,338.45,7.46,35493798
EXIDEIND,398.8,5.21,8701375
TRIDENT,26.94,4.91,45916477
AUBANK,1071.55,4.4,4854469
SYRMA,1431.0,4.22,1329905
CHOLAFIN,1797.1,4.13,2346119
HSCL,663.0,3.72,10445043
EMMVEE,339.55,3.33,2585200
NETWEB,5072.9,3.0,1099273
BAJFINANCE,990.6,2.93,9799600
REDINGTON,283.81,2.85,4472695
KIRLOSENG,2573.4,2.76,3809695
GROWW,199.83,2.74,34592683
OBEROIRLTY,1750.1,2.68,947459
RRKABEL,2428.3,2.54,625830
DRREDDY,1329.8,2.19,3334494
BANDHANBNK,211.4,2.07,10178269
YESBANK,24.96,1.67,115972938
LICHSGFIN,550.2,1.66,1219225
ADANIPORTS,1812.7,1.61,2105916
PFC,437.25,1.47,5468445
UNITDSPR,1356.7,1.42,1377531
COFORGE,1498.6,1.17,2288317
BELRISE,244.57,1.03,2546755
THELEELA,489.9,0.98,510080
LENSKART,518.45,0.92,6116902
PIDILITIND,1581.1,0.92,767518
VTL,644.25,0.89,569393
JSWENERGY,573.5,0.81,2187612
MOTHERSON,144.7,0.76,11217846
DELHIVERY,479.95,0.73,16142925
SCI,322.9,0.72,8824234
SONACOMS,619.9,0.64,1325821
BHEL,402.35,0.63,9340638
ADANIGREEN,1520.3,0.6,1915128
GAIL,174.86,0.59,5925452
ATGL,719.95,0.54,1585740
RECLTD,363.5,0.44,5289933
MAXHEALTH,1082.4,0.4,1279485
SUNPHARMA,1874.5,0.35,1396048
CGCL,218.44,0.33,9607486
FORTIS,974.95,0.29,1069990
ADANIENSOL,1496.7,0.2,1282157
INDHOTEL,724.75,0.1,2553172
KARURVYSYA,294.75,0.07,1595606
LT,4180.2,0.02,1355385
BIOCON,422.8,-0.09,7355770
NIVABUPA,86.54,-0.16,581884
NBCC,108.83,-0.19,8292664
MARICO,819.3,-0.21,1670536
J&KBANK,159.83,-0.23,3276354
AUROPHARMA,1530.1,-0.27,1047536
GRSE,2789.7,-0.45,738027
LICI,437.05,-0.7,5910556
NAM-INDIA,1156.5,-1.04,668107
TARIL,340.6,-1.29,1777598
JBMA,704.85,-1.68,588619
LAURUSLABS,1454.9,-1.76,2199920
CAMS,796.95,-1.81,1252242
ENRIN,3715.9,-2.05,533454
MANKIND,2476.2,-2.07,562979
BERGEPAINT,531.55,-2.69,515029
HAL,4367.1,-2.96,964320
ZENTEC,1849.8,-3.79,614919
DATAPATTNS,4621.6,-4.33,909587
SCHNEIDER,1367.0,-5.21,711493
GVT&D,5040.0,-6.74,1210956

Outperforming_Nifty_1W_3M,,,, 
========================= 
nsecode,close,per_chg,volume
SPAL,1102.95,14.28,1662864
GINNIFILA,52.62,10.62,1110988
PGIL,2077.8,10.06,2605433
ICIL,431.8,9.76,13213826
AETHER,1360.4,9.34,2848255
SKMEGGPROD,270.2,9.15,3583109
SETL,225.26,9.04,4829204
KPRMILL,1219.5,7.81,14971799
JSWINFRA,338.45,7.46,35493798
ARVIND,560.0,7.37,2361800
MANCREDIT,230.5,6.37,636890
UFBL,727.95,4.97,364857
WELSPUNLIV,169.59,4.89,17037860
SANSTAR,126.08,4.75,24914651
POKARNA,1129.35,3.63,353494
RBA,80.67,2.32,12418030
