
FII_Shareholding_Increased								 
========================== 
nsecode		close		per_chg		volume
ADANIPOWER		214.1		2.74		33158485
CUMMINSIND		5175.0		2.68		367236
COALINDIA		430.5		2.44		23616173
NYKAA		341.0		0.0		3921828
SUZLON		45.41		-0.2		53083522
MCX		3333.0		-0.27		2199777
POLYCAB		8333.0		-0.48		197804
LAURUSLABS		1927.3		-1.01		1788892
GVT&D		4656.0		-1.98		1111524

Fundamental_Tenchnical_Swing								 
============================ 
nsecode		close		per_chg		volume
NATIONALUM		379.75		2.34		9041753
HINDZINC		604.8		1.56		6342227
SKYGOLD		832.0		1.46		1094062
NAVINFLUOR		8739.0		0.09		300193
DYCL		457.45		-0.68		425442
CAPLIPOINT		2719.7		-1.82		116077
OFSS		11555.0		-1.91		155775

Zero_Debt_Momentum								 
================== 
nsecode		close		per_chg		volume
JGCHEM		618.9		1.26		506486
NIACL		206.74		0.74		11114765
BEPL		132.93		-0.68		2584595
GARUDA		181.5		-1.15		1624889
DEEPINDS		791.0		-3.38		641621

FIPA_above_all_SMAs								 
=================== 
nsecode		close		per_chg		volume
CHENNPETRO		1604.1		10.04		8585406
JSL		788.2		6.69		6293583
AEGISLOG		1341.1		5.76		2135055
SARDAEN		547.5		5.32		5265823
PAYTM		1753.0		4.97		7893329
MEDANTA		1482.5		3.77		563669
FINCABLES		1350.1		3.67		2919737
ADANIPORTS		1765.0		3.22		5537592
JSWINFRA		341.4		2.83		5341057
BHEL		433.25		2.63		8476010
AEGISVOPAK		297.5		2.36		1908829
SBFC		99.65		2.36		1117533
SAILIFE		1674.5		1.66		1342515
HINDZINC		604.8		1.56		6342227
JSWSTEEL		1309.0		0.9		1452554
JINDALSTEL		1146.4		0.89		606053
IDEA		15.53		0.71		546935927
ATHERENERG		1588.1		0.64		1695805
OIL		498.45		0.62		2497580
CGCL		272.15		0.52		3128002
GESHIP		1389.8		0.43		762743
SAIL		186.45		0.19		13879967
NYKAA		341.0		0.0		3921828
MCX		3333.0		-0.27		2199777
LENSKART		693.5		-0.32		7292765
HAL		5014.0		-0.34		1682695
GRASIM		3295.0		-0.36		832300
DATAPATTNS		4910.1		-0.45		698731
EMMVEE		329.75		-0.45		1635034
KALYANKJIL		608.0		-0.75		7460010
CUB		231.18		-0.77		1026973
LICHSGFIN		558.6		-0.78		2597545
LAURUSLABS		1927.3		-1.01		1788892
SYRMA		1620.0		-1.17		1111006
AUROPHARMA		1672.1		-1.18		575803
POLICYBZR		1800.0		-1.42		1165892
GRANULES		882.05		-1.49		1431806
SAGILITY		45.0		-1.53		9912068
HFCL		245.95		-1.92		6896507
GVT&D		4656.0		-1.98		1111524
ENGINERSIN		273.05		-2.2		2240335
JYOTICNC		1008.25		-2.79		518199
IFCI		89.1		-3.79		160355995

Outperforming_Nifty_1W_3M								 
========================= 
nsecode		close		per_chg		volume
NOVARTIND		2186.4		20.0		796223
GOACARBON		463.5		20.0		1205210
SREEL		345.01		20.0		638621
INDNIPPON		1346.7		19.99		1608482
WHEELS		2441.0		15.88		6749405
GRAPHITE		846.3		15.26		37242897
INDORAMA		84.9		13.23		7490654
SHAREINDIA		188.7		10.41		28800714
CHENNPETRO		1604.1		10.04		8585406
CONFIPET		90.4		9.59		15837571
STLTECH		865.9		5.0		4548756
SBC		48.85		4.45		12702990
ANTELOPUS		1147.7		4.42		13210925
ARTEMISMED		354.4		3.61		802380
PAISALO		80.0		2.93		21039866
HINDOILEXP		195.82		1.12		4071928
