
Sector_Performance,,,, 
================== 
nsecode,close,per_chg,volume
INDIAVIX,18.37,5.33,0
CNXIT,29364.65,0.41,0
NIFTYCHEMICALS,28503.75,0.08,0
CNXPHARMA,23266.55,0.02,0
NIFTYHEALTHCARE,14921.35,-0.13,0
NIFTYINDDEFENCE,8994.65,-0.2,0
NIFTYMICROCAP250,22991.35,-0.24,0
NIFTYSMALLCAP250,16736.8,-0.4,0
CNXENERGY,40797.3,-0.4,0
NIFTYMEDIA,1457.6,-0.41,0
CNXSMALLCAP,18012.35,-0.45,0
NIFTYAUTO,25952.25,-0.51,0
NIFTYSMALLCAP50,8785.15,-0.54,0
NIFTYOILANDGAS,11697.5,-0.61,0
NIFTY,24012.75,-0.68,0
CNXINFRA,9427.75,-0.7,0
NIFTYTOTALMKT,12768.6,-0.75,0
NIFTYMIDSMALLCAP400,20070.2,-0.75,0
NIFTYMIDSELECT,13827.1,-0.76,0
NIFTY100,24912.1,-0.77,0
NIFTY500,22695.55,-0.77,0
NIFTYCONSUMPTION,11427.05,-0.81,0
NIFTY200,13713.25,-0.81,0
NIFTYPVTBANK,26298.35,-0.82,0
NIFTYMIDCAP50,16885.55,-0.84,0
NIFTYLARGEMID250,16188.85,-0.85,0
BANKNIFTY,54893.8,-0.92,0
NIFTYMIDCAP150,22005.0,-0.93,0
NIFTYFINSERVICE,25673.6,-0.93,0
NIFTYCOMMODITIES,10238.35,-1.11,0
NIFTYFMCG,51091.9,-1.31,0
CNXREALTY,793.9,-1.45,0
NIFTYPSUBANK,8485.8,-1.64,0
NIFTYMETAL,12808.7,-2.31,0
