
Sector_Performance								 
================== 
nsecode		close		per_chg		volume
CNXREALTY		902.5		2.35		0
CNXIT		29441.1		2.34		0
NIFTYMEDIA		1563.2		2.34		0
NIFTYCONSUMPTION		11891.7		1.64		0
NIFTYAUTO		27657.85		1.62		0
CNXPHARMA		25941.2		1.54		0
NIFTYHEALTHCARE		16472.65		1.46		0
NIFTYSMALLCAP50		9482.2		1.28		0
NIFTYMICROCAP250		25245.4		1.28		0
NIFTYCHEMICALS		30421.85		1.27		0
CNXSMALLCAP		19114.1		1.27		0
NIFTYMIDCAP50		17930.85		1.25		0
NIFTYSMALLCAP250		17821.05		1.25		0
NIFTYMIDSMALLCAP400		21065.6		1.12		0
NIFTYMIDCAP150		22925.9		1.06		0
NIFTYTOTALMKT		13066.0		1.06		0
NIFTY500		23153.5		1.05		0
NIFTYLARGEMID250		16589.7		1.04		0
NIFTY200		13903.45		1.02		0
NIFTY100		25092.35		1.01		0
NIFTYFMCG		49548.05		1.01		0
NIFTY		24000.9		0.98		0
NIFTYMIDSELECT		14573.5		0.95		0
NIFTYFINSERVICE		26143.75		0.9		0
BANKNIFTY		57097.4		0.71		0
CNXINFRA		9300.8		0.65		0
NIFTYMETAL		12477.95		0.62		0
NIFTYINDDEFENCE		9412.25		0.62		0
NIFTYPVTBANK		27410.85		0.49		0
NIFTYCOMMODITIES		9806.65		0.43		0
NIFTYPSUBANK		8361.6		0.19		0
NIFTYOILANDGAS		11082.75		0.05		0
CNXENERGY		38814.0		-0.02		0
INDIAVIX		12.62		-10.05		0
